,Genre,Description
72,Christian,"The term ""Christian"" is used adjectivally to describe anything associated with Christianity, or in a proverbial sense ""all that is noble, and good, and Christ-like"". It can also refer to content produced by a christian without the content being explicitly Christian.The term ""Christian"" is used adjectivally to describe anything associated with Christianity, or in a proverbial sense ""all that is noble, and good, and Christ-like"". It can also refer to content produced by a christian without the content being explicitly Christian....more"
73,Christian Fiction,"A Christian novel is any novel that expounds and illustrates a Christian world view in its plot, its characters, or both, or which deals with Christian themes in a positive way. Many novels with Christian themes also fall into specific mainstream fiction genres. In North America, the Christian novel has evolved into a specific genre of its own, written explicitly by and for Christians of a particular type. Such a Christian novel does not have to involve an actual event or character in Bible history."
74,Christian Living,NULL
75,Christianity,"Christianity is an Abrahamic monotheistic religion based on the life and teachings of Jesus Christ as presented in the New Testament. Christianity is the world's largest religion, with over 2.4 billion adherents, known as Christians. Christians believe that Jesus is the Son of God and the savior of humanity whose coming as Christ or the Messiah was prophesied in the Old Testament,Christianity is an Abrahamic monotheistic religion based on the life and teachings of Jesus Christ as presented in the New Testament. Christianity is the world's largest religion, with over 2.4 billion adherents, known as Christians. Christians believe that Jesus is the Son of God and the savior of humanity whose coming as Christ or the Messiah was prophesied in the Old Testament,...more"
76,Christmas,"Christmas (Old English: Crīstesmæsse, meaning ""Christ's Mass"") is an annual commemoration of the birth of Jesus Christ and a widely observed cultural holiday, celebrated generally on December 25 by billions of people around the world. A feast central to the Christian liturgical year, it closes the Advent season and initiates the twelve days of Christmastide, which ends after the twelfth night. Christmas is a civil holiday in many of the world's nations, is celebrated by an increasing number of non-Christians, and is an integral part of the Christmas and holiday season.Christmas (Old English: Crīstesmæsse, meaning ""Christ's Mass"") is an annual commemoration of the birth of Jesus Christ and a widely observed cultural holiday, celebrated generally on December 25 by billions of people around the world. A feast central to the Christian liturgical year, it closes the Advent season and initiates the twelve days of Christmastide, which ends after the twelfth night. Christmas is a civil holiday in many of the world's nations, is celebrated by an increasing number of non-Christians, and is an integral part of the Christmas and holiday season....more"
77,Church,See ChristianitySee Christianity...more
78,Church History,The history of the Christian Church.
79,Civil War,"A civil war is a war between organized groups within the same nation state or republic, or, less commonly, between two countries created from a formerly-united nation state. In America, ""Civil War"" is often used to refer to the American Civil War. In Britain, it usually refers to the English Civil War from 1642–1651. Other civil wars in modern times include the Irish Civil War, the Spanish Civil War, and the Syrian Civil War. A civil war is a war between organized groups within the same nation state or republic, or, less commonly, between two countries created from a formerly-united nation state. In America, ""Civil War"" is often used to refer to the American Civil War. In Britain, it usually refers to the English Civil War from 1642–1651. Other civil wars in modern times include the Irish Civil War, the Spanish Civil War, and the Syrian Civil War. ...more"
80,Classic Literature,See  Classics See  Classics ...more
81,Classical Studies,"Classics (also Classical Studies) is the branch of the humanities comprising the languages, literature, philosophy, history, art, archaeology and other culture of the ancient Mediterranean world (Bronze Age ca. BC 3000 – Late Antiquity ca. AD 300–600); especially Ancient Greece and Ancient Rome during Classical Antiquity (ca. BC 600 – AD 600). Traditionally, the study of the Classics (the period's literature) was the principal study of the humanities.Classics (also Classical Studies) is the branch of the humanities comprising the languages, literature, philosophy, history, art, archaeology and other culture of the ancient Mediterranean world (Bronze Age ca. BC 3000 – Late Antiquity ca. AD 300–600); especially Ancient Greece and Ancient Rome during Classical Antiquity (ca. BC 600 – AD 600). Traditionally, the study of the Classics (the period's literature) was the principal study of the humanities....more"
82,Classics,"A classic stands the test of time. The work is usually considered to be a representation of the period in which it was written; and the work merits lasting recognition. In other words, if the book was published in the recent past, the work is not a classic. A classic has a certain universal appeal. Great works of literature touch us to our very core beings--partly because they integrate themes that are understood by readers from a wide range of backgrounds and levels of experience. Themes of love, hate, death, life, and faith touch upon some of our most basic emotional responses. Although the A classic stands the test of time. The work is usually considered to be a representation of the period in which it was written; and the work merits lasting recognition. In other words, if the book was published in the recent past, the work is not a classic. A classic has a certain universal appeal. Great works of literature touch us to our very core beings--partly because they integrate themes that are understood by readers from a wide range of backgrounds and levels of experience. Themes of love, hate, death, life, and faith touch upon some of our most basic emotional responses. Although the term is often associated with the Western canon, it can be applied to works of literature from all traditions, such as the Chinese classics or the Indian Vedas.Disambiguation: The study of ancient (""classical"") civilisations and languages, see Classical studies....more"
83,Clean Romance,"Romance books without intimacy details or foul language. It is often, though not always, found with the inspirational/Christian genre. "
84,Climbing,"Climbing is the activity of using one's hands, feet, or any other part of the body to ascend a steep object. It is done recreationally, competitively, in trades that rely on it, and in emergency rescue and military operations. It is done indoors and out, on natural and man-made structures.Climbing is the activity of using one's hands, feet, or any other part of the body to ascend a steep object. It is done recreationally, competitively, in trades that rely on it, and in emergency rescue and military operations. It is done indoors and out, on natural and man-made structures....more"
85,Coding,"Computer programming, the process of designing, writing, testing, debugging / troubleshooting, and maintaining the source code of computer programs"
86,Collections,NULL
87,College,"Books set in college or depicting college life, including classes, group projects, tutoring, student jobs, dorm life, off-campus housing, going out, spring/summer/winter breaks, sports, and new relationships. Often fall within the New Adult genre.Books set in college or depicting college life, including classes, group projects, tutoring, student jobs, dorm life, off-campus housing, going out, spring/summer/winter breaks, sports, and new relationships. Often fall within the New Adult genre....more"
88,Comedy,"In a modern sense, comedy (from the Greek: κωμῳδία, kōmōidía) refers to any discourse or work generally intended to be humorous or to amuse by inducing laughter, especially in theatre, television, film and stand-up comedy. The origins of the term are found in Ancient Greece."
89,Comic Book,"Goodreads does not track individual comic book issues, but these are collected volumes of multiple issues.Please also see Comics.Goodreads does not track individual comic book issues, but these are collected volumes of multiple issues.Please also see Comics....more"
90,Comics,"See also the compound shelves:* graphic novels, comics, and manga* graphic novels and comics* comics and mangaA comic book or comicbook, also called comic magazine or simply comic, is a publication that consists of comic art in the form of sequential juxtaposed panels that represent individual scenes. Panels are often accompanied by brief descriptive prose and written narrative, usually dialog contained in word balloons emblematic of the comics art form. See also the compound shelves:* graphic novels, comics, and manga* graphic novels and comics* comics and mangaA comic book or comicbook, also called comic magazine or simply comic, is a publication that consists of comic art in the form of sequential juxtaposed panels that represent individual scenes. Panels are often accompanied by brief descriptive prose and written narrative, usually dialog contained in word balloons emblematic of the comics art form. ...more"
91,Coming Of Age,"A coming-of-age story is a genre of literature that focuses on the growth of a protagonist from youth to adulthood (""coming of age""). Coming-of-age stories tend to emphasize dialogue or internal monologue over action, and are often set in the past or have adults looking back into the past. The subjects of coming-of-age stories are typically males in their mid teens, although sometimes females are the protagonists. Themes of maturation, acculturation, loss of innocence, wisdom and/or acumen, and worldliness are often present. Coming-of-age is a theme that fits multiple genres.A coming-of-age story is a genre of literature that focuses on the growth of a protagonist from youth to adulthood (""coming of age""). Coming-of-age stories tend to emphasize dialogue or internal monologue over action, and are often set in the past or have adults looking back into the past. The subjects of coming-of-age stories are typically males in their mid teens, although sometimes females are the protagonists. Themes of maturation, acculturation, loss of innocence, wisdom and/or acumen, and worldliness are often present. Coming-of-age is a theme that fits multiple genres....more"
92,Comix,"Underground comix are small/specialty press or self-published comic books which are often socially relevant or satirical in nature. They differ from mainstream comics in depicting content forbidden to mainstream publications by the Comics Code Authority, including explicit drug use, sexuality, and violence."
93,Computer Science,"Computer science is the scientific and practical approach to computation and its applications. It is the systematic study of the feasibility, structure, expression, and mechanization of the methodical procedures (or algorithms) that underlie the acquisition, representation, processing, storage, communication of, and access to information, whether such information is encoded as bits in a computer memory or transcribed in genes and protein structures in a biological cell. A computer scientist specializes in the theory of computation and the design of computational systems."
94,Computers,See Computer Science.See Computer Science....more
95,Conspiracy Theories,"A conspiracy theory is an explanation of an event or situation that invokes a conspiracy by sinister and powerful actors, often political in motivation, when other explanations are more probable. The term has a pejorative connotation, implying that the appeal to a conspiracy is based on prejudice or insufficient evidence. Conspiracy theories resist falsification and are reinforced by circular reasoning: both evidence against the conspiracy and an absence of evidence for it, are re-interpreted as evidence of its truth, and the conspiracy becomes a matter of faith rather than proof.Research suggA conspiracy theory is an explanation of an event or situation that invokes a conspiracy by sinister and powerful actors, often political in motivation, when other explanations are more probable. The term has a pejorative connotation, implying that the appeal to a conspiracy is based on prejudice or insufficient evidence. Conspiracy theories resist falsification and are reinforced by circular reasoning: both evidence against the conspiracy and an absence of evidence for it, are re-interpreted as evidence of its truth, and the conspiracy becomes a matter of faith rather than proof.Research suggests, on a psychological level, conspiracist ideation—belief in conspiracy theories—can be harmful or pathological, and is highly correlated with psychological projection, as well as with paranoia, which is predicted by the degree of a person's Machiavellianism. Conspiracy theories once limited to fringe audiences have become commonplace in mass media, emerging as a cultural phenomenon of the late 20th and early 21st centuries....more"
96,Contemporary,Literature that largely takes place in the present time.
97,Contemporary Romance,"Contemporary romance is broadly described as the time period for romance set after World War II, and is sometimes referred to as ""modern romance"". It is the most popular classification in the Romance genre, with Historical coming in at a close second. One of the most popular forms in Contemporary is Category Romance.The themes and sub-genres are varied with a wide range. Popular Contemporary sub-genres include Christian Romance, Erotica, Fantasy Romance, Romantic Suspense, and Paranormal Romance. Romances also have sub-division types such as Young Adult Contemporary, M/M Contemporary, Lesbian Contemporary romance is broadly described as the time period for romance set after World War II, and is sometimes referred to as ""modern romance"". It is the most popular classification in the Romance genre, with Historical coming in at a close second. One of the most popular forms in Contemporary is Category Romance.The themes and sub-genres are varied with a wide range. Popular Contemporary sub-genres include Christian Romance, Erotica, Fantasy Romance, Romantic Suspense, and Paranormal Romance. Romances also have sub-division types such as Young Adult Contemporary, M/M Contemporary, Lesbian Romance. Some popular themes are Cowboy , Interracial, Medical, Sports, Romantic Comedy....more"
98,Cookbooks,"Non-fiction books that contain a collection of recipes, techniques, and tricks of the trade or else focus on the exploration of food, cooking, and culture of food. Many cookbooks are divided into sections such as baking, dinner, and breakfast. A specialty cookbook may focus only on a certain country's cuisine, such as Italian or Cajun. There are some cookbooks that are written to highlight one ingredient (i.e. honey), and some cookbooks focused on only one branch of cooking (such as bread.) Even further, some cookbooks focus on types of cooking (microwave, barbecue, baking.)Non-fiction books that contain a collection of recipes, techniques, and tricks of the trade or else focus on the exploration of food, cooking, and culture of food. Many cookbooks are divided into sections such as baking, dinner, and breakfast. A specialty cookbook may focus only on a certain country's cuisine, such as Italian or Cajun. There are some cookbooks that are written to highlight one ingredient (i.e. honey), and some cookbooks focused on only one branch of cooking (such as bread.) Even further, some cookbooks focus on types of cooking (microwave, barbecue, baking.)...more"
99,Cooking,See Cookbooks.See Cookbooks....more
100,Cozy,"Cozy books are often characterized by relatively low stakes, a strong focus on characters, and evocation of feelings of comfort, warmth, and safety.See also: cozy fantasy, cozy mysteryCozy books are often characterized by relatively low stakes, a strong focus on characters, and evocation of feelings of comfort, warmth, and safety.See also: cozy fantasy, cozy mystery...more"
101,Cozy Mystery,"Cozy mysteries very rarely focus on sex, profanity or violence. The murders take place off stage, and are often relatively bloodless (e.g. poisoning), while sexual activity (if any) between characters is only ever gently implied and never directly addressed.The cozy mystery usually takes place in a small town or village. The small size of the setting makes it believable that all the suspects know each other. The amateur sleuth is usually a very likeable person who is able to get the community members to talk freely about each other. There is usually at least one very knowledgeable, nosy, yet rCozy mysteries very rarely focus on sex, profanity or violence. The murders take place off stage, and are often relatively bloodless (e.g. poisoning), while sexual activity (if any) between characters is only ever gently implied and never directly addressed.The cozy mystery usually takes place in a small town or village. The small size of the setting makes it believable that all the suspects know each other. The amateur sleuth is usually a very likeable person who is able to get the community members to talk freely about each other. There is usually at least one very knowledgeable, nosy, yet reliable character in the book who is able to fill in all of the blanks, thus enabling the amateur sleuth to solve the case....more"
102,Crafts,"Craft books are non-fiction, instructional books which focus on crafting. Popular subjects are homemade soaps, jewelry, knitting, and woodwork."
103,Crime,"The crime genre includes the broad selection of books on criminals and the court system, but the most common focus is investigations and sleuthing. Mystery novels are usually placed into this category, although there is a separate division for ""crime"". Hard Case Crime is one example.The crime genre includes the broad selection of books on criminals and the court system, but the most common focus is investigations and sleuthing. Mystery novels are usually placed into this category, although there is a separate division for ""crime"". Hard Case Crime is one example....more"
104,Criticism,"Criticism is the practice of judging the merits and faults of something or someone in a sometimes negative, sometimes intelligible, (or articulate) way."
105,Cults,"""Cult"" may refer to the original and typically ancient sense of ""religious practice"" or to a newly established religious movement. It is also a pejorative term for a group whose religious beliefs are considered fanatical and unacceptable.(See also cult classics.)""Cult"" may refer to the original and typically ancient sense of ""religious practice"" or to a newly established religious movement. It is also a pejorative term for a group whose religious beliefs are considered fanatical and unacceptable.(See also cult classics.)...more"
106,Cultural,Cultural refers to books that depict a place or time and its culture.
107,Cultural Studies,"Cultural studies is an academic field grounded in critical theory and literary criticism. It generally concerns the political nature of contemporary culture, as well as its past historical precedents, conflicts, and issues. It is, to this extent, largely distinguished from cultural anthropology and ethnic studies in both objective and methodology. Researchers concentrate on how a particular medium or message relates to matters of ideology, social class, nationality, ethnicity, sexuality, and/or gender.Cultural studies is extremely holistic, combining feminist theory, social theory, political tCultural studies is an academic field grounded in critical theory and literary criticism. It generally concerns the political nature of contemporary culture, as well as its past historical precedents, conflicts, and issues. It is, to this extent, largely distinguished from cultural anthropology and ethnic studies in both objective and methodology. Researchers concentrate on how a particular medium or message relates to matters of ideology, social class, nationality, ethnicity, sexuality, and/or gender.Cultural studies is extremely holistic, combining feminist theory, social theory, political theory, history, philosophy, literary theory, media theory, film/video studies, communication studies, political economy, museum studies and art history/criticism to study cultural phenomena in various societies. Thus, cultural studies seeks to understand the ways in which meaning is generated, disseminated, and produced through various practices, beliefs, institutions, and political, economic, or social structures within a given culture....more"
108,Cyberpunk,"Cyberpunk is a subgenre of science fiction in a future setting that tends to focus on society as ""high tech low life"" featuring advanced technological and scientific achievements, such as information technology and cybernetics, juxtaposed with a degree of breakdown or radical change in the social order.Cyberpunk plots often center on conflict among artificial intelligences, hackers, and among megacorporations, and tend to be set in a near-future Earth, rather than in the far-future settings or galactic vistas found in novels such as Isaac Asimov's Foundation or Frank Herbert's Dune. The settinCyberpunk is a subgenre of science fiction in a future setting that tends to focus on society as ""high tech low life"" featuring advanced technological and scientific achievements, such as information technology and cybernetics, juxtaposed with a degree of breakdown or radical change in the social order.Cyberpunk plots often center on conflict among artificial intelligences, hackers, and among megacorporations, and tend to be set in a near-future Earth, rather than in the far-future settings or galactic vistas found in novels such as Isaac Asimov's Foundation or Frank Herbert's Dune. The settings are usually post-industrial dystopias but tend to feature extraordinary cultural ferment and the use of technology in ways never anticipated by its original inventors (""the street finds its own uses for things""). Much of the genre's atmosphere echoes film noir, and written works in the genre often use techniques from detective fiction.Classic cyberpunk characters were marginalized, alienated loners who lived on the edge of society in generally dystopic futures where daily life was impacted by rapid technological change, an ubiquitous datasphere of computerized information, and invasive modification of the human body. — Lawrence Person...more"
109,Dark Fantasy,"At its most basic, dark fantasy is a term used to describe a fantasy story with a pronounced horror element. A stricter definition is difficult to pin down, as authors, publishers, and readers have used ""dark fantasy"" in various contexts throughout the years. Dark fantasy is often used as a synonym for supernatural horror. Some authors and critics also apply the term to high fantasy stories that feature anti-heroic or morally ambiguous protagonists. Fantasy works by writers typically associated with the horror genre are sometimes described as ""dark fantasy."" Conversely, the term is also used tAt its most basic, dark fantasy is a term used to describe a fantasy story with a pronounced horror element. A stricter definition is difficult to pin down, as authors, publishers, and readers have used ""dark fantasy"" in various contexts throughout the years. Dark fantasy is often used as a synonym for supernatural horror. Some authors and critics also apply the term to high fantasy stories that feature anti-heroic or morally ambiguous protagonists. Fantasy works by writers typically associated with the horror genre are sometimes described as ""dark fantasy."" Conversely, the term is also used to describe ""darker"" works by authors best-known for other styles of fantasy....more"
110,Death,The cessation of life.
111,Design,NULL
112,Detective,"Detective fiction is a sub-genre of crime and mystery fiction in which an investigator (often a detective), either professional or amateur, investigates a crime, often murder.Detective fiction is a sub-genre of crime and mystery fiction in which an investigator (often a detective), either professional or amateur, investigates a crime, often murder....more"
113,Diets,"Sometimes cookbooks, sometimes other non-fiction books, related to losing weight and improving health."
114,Dogs,"The domestic dog (Canis lupus familiaris or Canis familiaris) is a domesticated canid which has been selectively bred for millennia for various behaviors, sensory capabilities, and physical attributes. Because of their close relationships with humans, dogs are common characters in fiction. Non-fiction about dogs includes memoirs by pet owners, advice for raising dogs, and scientific investigations of dog domestication and psychology."
115,Dragons,"Dragons are legendary creatures, typically with serpentine or otherwise reptilian traits, that feature in the myths of many cultures.There are two distinct cultural traditions of dragons: the European dragon, derived from European folk traditions and ultimately related to Greek and Middle Eastern mythologies, and the Chinese dragon, with counterparts in Japan, Korea and other Asian countries. The traditional European dragon is a large reptilian creature with wings who lives in underground caves filled with treasure. They can breathe fire.Chinese dragons are more serpentine in shape who possessDragons are legendary creatures, typically with serpentine or otherwise reptilian traits, that feature in the myths of many cultures.There are two distinct cultural traditions of dragons: the European dragon, derived from European folk traditions and ultimately related to Greek and Middle Eastern mythologies, and the Chinese dragon, with counterparts in Japan, Korea and other Asian countries. The traditional European dragon is a large reptilian creature with wings who lives in underground caves filled with treasure. They can breathe fire.Chinese dragons are more serpentine in shape who possess four legs and no wings. They are often considered signs of good luck, power and strength.Dragons vary drastically according to different stories and mythology. Some can talk and perform magic. Some can assume human form. Some are affiliated with non-fire elements and can breathe ice, lightning and other elements. ...more"
116,Drama,"Drama is the specific mode of fiction represented in performance. The term comes from a Greek word meaning ""action"" (Classical Greek: δρᾶμα, drama), which is derived from ""to do"" or ""to act"" (Classical Greek: δράω, draō). The enactment of drama in theatre, performed by actors on a stage before an audience, presupposes collaborative modes of production and a collective form of reception. The structure of dramatic texts, unlike other forms of literature, is directly influenced by this collaborative production and collective reception.Drama is also used as synonym of Dramatic (Situations of misfoDrama is the specific mode of fiction represented in performance. The term comes from a Greek word meaning ""action"" (Classical Greek: δρᾶμα, drama), which is derived from ""to do"" or ""to act"" (Classical Greek: δράω, draō). The enactment of drama in theatre, performed by actors on a stage before an audience, presupposes collaborative modes of production and a collective form of reception. The structure of dramatic texts, unlike other forms of literature, is directly influenced by this collaborative production and collective reception.Drama is also used as synonym of Dramatic (Situations of misfortunes that move vividly)....more"
117,Dystopia,"Dystopia is a form of literature that explores social and political structures. It is a creation of a nightmare world - unlike its opposite, Utopia, which is an ideal world. Dystopia is often characterized by an authoritarian or totalitarian form of government. It often features multiple kinds of repressive social control systems, a lack or total absence of individual freedoms and expressions, and a state of constant warfare or violence. Many novels combine Dystopia and Utopia, often as a metaphor for the different directions humanity can take in its choices, ending up with one of the two possDystopia is a form of literature that explores social and political structures. It is a creation of a nightmare world - unlike its opposite, Utopia, which is an ideal world. Dystopia is often characterized by an authoritarian or totalitarian form of government. It often features multiple kinds of repressive social control systems, a lack or total absence of individual freedoms and expressions, and a state of constant warfare or violence. Many novels combine Dystopia and Utopia, often as a metaphor for the different directions humanity can take in its choices, ending up with one of the two possible futures. Dystopia is very similar to False Utopia, but instead of the often visibly oppressive and/or anarchic ""true"" Dystopia, a False Utopia appears inviting at first and may well be a nice place to live in but hides a dark and often terrible secret beneath its innocent exterior. For similar themes/genres, also see: Utopia...more"
118,Ecclesiology,"Ecclesiology usually now refers to the theological study of the Christian Church. The word was an English neologism of the later 1830s, however; and, within a few years, it was defined as the science of the building and decoration of church buildings; it may still be used in this sense."
119,Ecology,"Ecology (from Greek: οἶκος, ""house""; -λογία, ""study of""[A]) is the scientific study of interactions among organisms and their environment, such as the interactions organisms have with each other and with their abiotic environment.See also Science.Ecology (from Greek: οἶκος, ""house""; -λογία, ""study of""[A]) is the scientific study of interactions among organisms and their environment, such as the interactions organisms have with each other and with their abiotic environment.See also Science....more"
120,Economics,"Economics is a social science concerned with the factors that determine the production, distribution, and consumption of goods and services. The term economics comes from the Ancient Greek οἰκονομία from οἶκος (oikos, ""house"") and νόμος (nomos, ""custom"" or ""law""), hence ""rules of the house (hold for good management)"". 'Political economy' was the earlier name for the subject, but economists in the late 19th century suggested ""economics"" as a shorter term for ""economic science"" to establish itself as a separate discipline outside of political science and other social scienceEconomics is a social science concerned with the factors that determine the production, distribution, and consumption of goods and services. The term economics comes from the Ancient Greek οἰκονομία from οἶκος (oikos, ""house"") and νόμος (nomos, ""custom"" or ""law""), hence ""rules of the house (hold for good management)"". 'Political economy' was the earlier name for the subject, but economists in the late 19th century suggested ""economics"" as a shorter term for ""economic science"" to establish itself as a separate discipline outside of political science and other social science...more"
121,Education,See also academic.See also academic....more
122,Egypt,Books in this genre are set in or about Egypt.
123,Enemies To Lovers,"Enemies to Lovers covers a rather large spectrum from people who dislike each other to people who are literally on opposite sides in a war, who end up becoming lovers or falling in love with their rival/enemy."
124,Engineering,"Engineering (from Latin ingenium, meaning ""cleverness"" and ingeniare, meaning ""to contrive, devise"") is the application of scientific, economic, social, and practical knowledge in order to invent, design, build, maintain, and improve structures, machines, devices, systems, materials and processes. The discipline of engineering is extremely broad, and encompasses a range of more specialized fields of engineering, each with a more specific emphasis on particular areas of applied science, technology and types of application.Engineering (from Latin ingenium, meaning ""cleverness"" and ingeniare, meaning ""to contrive, devise"") is the application of scientific, economic, social, and practical knowledge in order to invent, design, build, maintain, and improve structures, machines, devices, systems, materials and processes. The discipline of engineering is extremely broad, and encompasses a range of more specialized fields of engineering, each with a more specific emphasis on particular areas of applied science, technology and types of application....more"
125,English Literature,English-language literature.
126,Entrepreneurship,NULL
127,Environment,"The surroundings or conditions in which a person, animal, or plant lives or operates. The natural world, as a whole or in a particular geographical area, especially as affected by human activity."
128,Epic Fantasy,"Epic Fantasy is a subgenre of fantasy that is set in invented or parallel world. It is most commonly considered to be the same genre as High Fantasy, since they share many of the same elements, but Epic Fantasy takes the story even farther, in a bigger and more epic way (e.g. the stakes are greater; the land/world is in peril; a great evil threatens the world; the conflict shakes all who dwell in the world of the story).Epic Fantasy became more famous through the works of such as: Brandon Sanderson, Brent Weeks, Robert Jordan, Robin Hobb, Patrick Rothfuss, Scott Lynch, Joe Abercrombie, Terry BEpic Fantasy is a subgenre of fantasy that is set in invented or parallel world. It is most commonly considered to be the same genre as High Fantasy, since they share many of the same elements, but Epic Fantasy takes the story even farther, in a bigger and more epic way (e.g. the stakes are greater; the land/world is in peril; a great evil threatens the world; the conflict shakes all who dwell in the world of the story).Epic Fantasy became more famous through the works of such as: Brandon Sanderson, Brent Weeks, Robert Jordan, Robin Hobb, Patrick Rothfuss, Scott Lynch, Joe Abercrombie, Terry Brooks, Raymond E. Feist, Tad Williams, George R.R. Martin, Steven Erikson, and more; though it's origins come long before, from J.R.R. Tolkien's The Lord of the Rings. ...more"
129,Erotica,"Erotica is any story that places sex at the center of the story. They tend to use more frank language and usually include more sex scenes, often focusing more on the sex act rather than being a more traditional love scene, and may include more unusual positions or acts. Unlike romance or erotic romance, erotica may or may not deal with love or relationships and may or may not provide a happy ending for its protagonists.See also:* pornography* sexuality* erotic romanceErotica is any story that places sex at the center of the story. They tend to use more frank language and usually include more sex scenes, often focusing more on the sex act rather than being a more traditional love scene, and may include more unusual positions or acts. Unlike romance or erotic romance, erotica may or may not deal with love or relationships and may or may not provide a happy ending for its protagonists.See also:* pornography* sexuality* erotic romance...more"
130,Espionage,"Spy fiction, literature concerning the forms of espionage, was a sub-genre derived from the novel during the nineteenth century, which then evolved into a discrete genre before the First World War (1914–18), when governments established modern intelligence agencies in the early twentieth century. As a genre, spy fiction is thematically related to the novel of adventure, the thriller and the politico–military thriller."
131,Essays,"An essay is a piece of writing which is often written from an author's personal point of view. Essays can consist of a number of elements, including: literary criticism, political manifestos, learned arguments, observations of daily life, recollections, and reflections of the author. The definition of an essay is vague, overlapping with those of an article and a short story. Almost all modern essays are written in prose, but works in verse have been dubbed essays (e.g. Alexander Pope's An Essay on Criticism and An Essay on Man). While brevity usually defines an essay, voluminous works like JohAn essay is a piece of writing which is often written from an author's personal point of view. Essays can consist of a number of elements, including: literary criticism, political manifestos, learned arguments, observations of daily life, recollections, and reflections of the author. The definition of an essay is vague, overlapping with those of an article and a short story. Almost all modern essays are written in prose, but works in verse have been dubbed essays (e.g. Alexander Pope's An Essay on Criticism and An Essay on Man). While brevity usually defines an essay, voluminous works like John Locke's An Essay Concerning Human Understanding and Thomas Malthus's An Essay on the Principle of Population provide counterexamples.In some countries (e.g., in the United States), essays have become major part of formal education. Secondary students are taught structured essay formats to improve their writing skills, and admission essays are often used by universities in selecting applicants and, in the humanities and social sciences, as a way of assessing the performance of students during final exams. The concept of an ""essay"" has been extended to other mediums beyond writing. A film essay is a movie that often incorporates documentary film making styles and which focuses more on the evolution of a theme or an idea. A photographic essay is an attempt to cover a topic with a linked series of photographs; it may or may not have an accompanying text or captions....more"
132,European History,"The history of Europe covers the peoples inhabiting the European continent from prehistory to the present. Some of the best-known civilizations of prehistoric Europe were the Minoan and the Mycenaean, which flourished during the Bronze Age until they collapsed in a short period of time around 1200 BC."
133,Evolution,"Evolution is the change in the inherited characteristics of biological populations over successive generations. Evolutionary processes give rise to diversity at every level of biological organisation, including species, individual organisms and molecules such as DNA and proteins.See also Science.Evolution is the change in the inherited characteristics of biological populations over successive generations. Evolutionary processes give rise to diversity at every level of biological organisation, including species, individual organisms and molecules such as DNA and proteins.See also Science....more"
134,Fae,"The fae (also faery, faerie, fay, fairy) are a type of mythical beings or legendary creature, a form of spirit, often described as metaphysical, supernatural or preternatural.A diminutive of the word ""fairy"".The fae (also faery, faerie, fay, fairy) are a type of mythical beings or legendary creature, a form of spirit, often described as metaphysical, supernatural or preternatural.A diminutive of the word ""fairy""....more"
135,Fairies,"A fairy (also faery, faerie, fay, fae) is a type of mythical being or legendary creature, a form of spirit, often described as metaphysical, supernatural or preternatural."
136,Fairy Tales,"Fairy tale is a type of short narrative that typically features such folkloric characters, such as fairies, goblins, elves, trolls, dwarves, giants or gnomes, and usually magic or enchantments. However, only a small number of the stories thus designated explicitly refer to fairies.Fairy tales are high fantasy based on stories that are not only not true, but that couldn't possibly be true, while Legends are sometimes perceived as real or plausible. Fairy tales may merge into legends, where the narrative is perceived both by teller and hearers as being grounded in historical truth. However, unliFairy tale is a type of short narrative that typically features such folkloric characters, such as fairies, goblins, elves, trolls, dwarves, giants or gnomes, and usually magic or enchantments. However, only a small number of the stories thus designated explicitly refer to fairies.Fairy tales are high fantasy based on stories that are not only not true, but that couldn't possibly be true, while Legends are sometimes perceived as real or plausible. Fairy tales may merge into legends, where the narrative is perceived both by teller and hearers as being grounded in historical truth. However, unlike legends and epics, they usually do not contain more than superficial references to religion and actual places, people, and events; they take place once upon a time rather than in actual times.See also fairies....more"
137,Faith,"Faith is confidence or trust in a person or thing; or the observance of an obligation from loyalty; or fidelity to a person, promise, engagement; or a belief not based on proof; or it may refer to a particular system of religious belief, such as in which faith is confidence based on some degree of warrant. The term 'faith' has numerous connotations and is used in different ways, often depending on context.Faith is confidence or trust in a person or thing; or the observance of an obligation from loyalty; or fidelity to a person, promise, engagement; or a belief not based on proof; or it may refer to a particular system of religious belief, such as in which faith is confidence based on some degree of warrant. The term 'faith' has numerous connotations and is used in different ways, often depending on context....more"
138,Family,"A family is a group of people related to each other by genetic ties, adoption, marriage, or co-residence. Literature about the family tends to focus on the relationships between family members."
139,Fantasy,"Fantasy is a genre that uses magic and other supernatural forms as a primary element of plot, theme, and/or setting. Fantasy is generally distinguished from science fiction and horror by the expectation that it steers clear of technological and macabre themes, respectively, though there is a great deal of overlap between the three (collectively known as speculative fiction or science fiction/fantasy)In its broadest sense, fantasy comprises works by many writers, artists, filmmakers, and musicians, from ancient myths and legends to many recent works embraced by a wide audience today, including Fantasy is a genre that uses magic and other supernatural forms as a primary element of plot, theme, and/or setting. Fantasy is generally distinguished from science fiction and horror by the expectation that it steers clear of technological and macabre themes, respectively, though there is a great deal of overlap between the three (collectively known as speculative fiction or science fiction/fantasy)In its broadest sense, fantasy comprises works by many writers, artists, filmmakers, and musicians, from ancient myths and legends to many recent works embraced by a wide audience today, including young adults, most of whom are represented by the works below. ...more"
