,First Name,Last Name,About Author
369,Maribal,De Juan,
370,Paul,Hallasy,
371,Eric,Brown,
372,Anne,M. Holzapfel,
373,Preston,B. Nichols,
374,Peter,Moon,
375,Al,Lacy,"Al Lacy has written more than ninety novels, including the Angel of Mercy, Battles of Destiny, and Journeys of the Stranger series. He and his wife, JoAnna Lacy, are coauthors of the Mail Order Bride, Hannah of Fort Bridger, and Shadow of Liberty series. The Lacys make their home in the Colorado Rockies. "
376,JoAnna,Lacy,"JoAnna Lacy is a retired nurse and the coauthor, along with her husband, evangelist and bestselling writer  Al Lacy, of several historical and western novels. Their notable works include the Mail Order Bride, Hannah of Fort Bridger, and Shadow of Liberty series. Married for over 40 years, the couple currently resides in Florida."
377,Stéphane,Mallarmé,
378,Paul,Karasik,"Paul Karasik is an American cartoonist, editor, and teacher, notable for his contributions to such works as City of Glass: The Graphic Novel, The Ride Together: A Memoir of Autism in the Family, and Turn Loose Our Death Rays and Kill Them All!. He is the coauthor, with Mark Newgarden, of How to Read Nancy, 2018 winner of the Eisner Award for ""Best Comics-Related Book"". He is also an occasional cartoonist for The New Yorker. "
379,David,Mazzucchelli,"David Mazzucchelli has been making comics his whole life. Known chiefly for his collaborations - with Frank Miller on seminal Batman and Daredevil stories, and with Paul Karasik on an adaptation of Paul Auster's novel, City of Glass - he began publishing his own stories in 1991 in his anthology magazine, Rubber Blanket. Since then his short comics have been published in books and magazines around the world. Asterios Polyp is his first graphic novel, and has won the Los Angeles Times Book Prize and been listed as a New York Times notable book."
380,Bob,Callahan,
381,Isol,,"Marisol Misenta, known professionally under the mononym Isol, is one of the most famous authors and illustrators of children's books in the world. She has won the Astrid Lindgren Memorial Award, has twice been selected as a finalist for the Hans Christian Andersenn Award and has won a Golden Apple at the Biennial of Illustration, Bratislava. her many publications include It's Useful to Have a Duck, Beautiful Griselda, Nocturne and Petit, the Monster. Isol is also an advertising illustrator, a professional singer and a comic-book writer. She lives with her family in Buenos Aires."
382,Frieder,Blickle,
383,Glenn, Thomas,
384,Ilana,Shiloh,
385,Chippy,Irvine,
386,Benito,Gómez Ibáñez,
387,Bernd,Herzogenrath,
388,Amy,Sickels,
389,Aliki,Varvogli,
390,Dennis,Barone,
391,François,Gavillon,
392,Jared,Diamond,"Jared Mason Diamond is an American scientist, historian, and author best known for his popular science and history books and articles. Originally trained in biochemistry and physiology, Diamond is commonly referred to as a polymath, stemming from his knowledge in many fields including anthropology, ecology, geography, and evolutionary biology. He is a professor of geography at UCLA. In 2005, Diamond was ranked ninth on a poll by Prospect and Foreign Policy of the world's top 100 public intellectuals."
393,Stephen,Leeb,"Stephen Leeb is a money manager and investment adviser. For more than 45 years he has been guiding investors via newsletters, books, blogs, and appearances on financial news networks including CNN, Fox News, NPR and Bloomberg TV.Currently he edits the investment letter The Complete Investor, which he founded in 2003. Within its first year of publication, it won an award for editorial excellence from the Newsletter and Electronic Publishers Foundation, winning the award again in 2005.He also is owner and chief investment officer of Leeb Capital Management (LCM), a New York-based wealth management firm.Leeb is the author of nine books on finance, investing, and geopolitical trends, starting with “Getting in on the Ground Floor” (1986) through his most recent, “China’s Rise and the New Age of Gold” (2020).He has been called one of the country's foremost financial experts by Business journalist  Charles Gasparino and one of the greatest long term strategists of his generation by American billionaire businessman Thomas Kaplan which can be summarized by Kaplan's statement and foreword in Leeb's 2012 release of Red Alert saying ""I would caution readers to dismiss Stephen Leeb's warnings only at their peril.""Leeb is married to  Donna Leeb, also an author, and lives in New York City, New York."
394,Glen,Strathy,
395,Joseph,A. Tainter,"Joseph Tainter studied anthropology at the University of California, Berkeley and Northwestern University, where he received his Ph.D. in 1975. As of 2012 he holds a professorship in the Department of Environment and Society at Utah State University. His previous positions include Project Leader of Cultural Heritage Research, Rocky Mountain Forest and Range Experiment Station, Albuquerque, New Mexico and Professor of Anthropology at the University of New Mexico.Tainter has written or edited many articles and monographs. His arguably best-known work, The Collapse of Complex Societies (1988), examines the collapse of Maya and Chacoan civilizations, and of the Western Roman Empire, in terms of network theory, energy economics and complexity theory. Tainter argues that sustainability or collapse of societies follow from the success or failure of problem-solving institutions and that societies collapse when their investments in social complexity and their ""energy subsidies"" reach a point of diminishing marginal returns. He recognizes collapse when a society rapidly sheds a significant portion of its complexity."
396,Robert,D. Putnam,"Robert David Putnam is an American political scientist specializing in comparative politics. He is the Peter and Isabel Malkin Professor of Public Policy at the Harvard University John F. Kennedy School of Government. Putnam developed the influential two-level game theory that assumes international agreements will only be successfully brokered if they also result in domestic benefits. His most famous work, Bowling Alone, argues that the United States has undergone an unprecedented collapse in civic, social, associational, and political life (social capital) since the 1960s, with serious negative consequences. In March 2015, he published a book called Our Kids: The American Dream in Crisis that looked at issues of inequality of opportunity in the United States. According to the Open Syllabus Project, Putnam is the fourth most frequently cited author on college syllabi for political science courses.["
397,Scott,M. Huse,
398,Vincent,Dunn,"Vincent Joseph Dunn is a retired firefighter who served the New York Fire Department for 42 years, rising in rank to Commander of Division 3 (Midtown Manhattan). A longtime contributing editor to Firehouse Magazine, he is the author of nine books on firefighting and one memoir. He published two of his books before his 1999 retirement from New York City Fire Department: ""Collapse of Burning Buildings: A Guide to Fireground Safety,"" 1988; and ""Safety and Survival on the Fireground,"" 1992. His later books are ""Command and Control of Fires and Emergencies,"" 2000; ""Strategy of Firefighting,"" 2007; ""Building Construction the Firefighters Battlespace,"" 2018; ""Fire the Battlespace Enemy,"" 2020; Battlespace Combat,"" 2020; ""Skyscraper Battlespace High-Rise Firefighting,"" published 2022, and “Battlespace Life-or-Death Decisions,” published 2023."
399,Philip,K. Howard,"Philip K. Howard, a lawyer, advises leaders of both parties on legal and regulatory reform. He is chair of Common Good and a contributor to the New York Times and the Wall Street Journal.Philip K. Howard is a well-known leader of government and legal reform in America. His new book, The Rule of Nobody (W. W. Norton & Company, April 2014), has been praised by Fareed Zakaria as “an utterly compelling and persuasive book that, if followed, could change the way America works.” His TED Talk has has been viewed by almost 500,000 people.Philip is also the author of the best-seller The Death of Common Sense (Random House, 1995), The Collapse of the Common Good (Ballantine Books, 2002) and Life Without Lawyers (W. W. Norton & Company, 2009).In 2002, Philip formed Common Good, a nonpartisan national coalition dedicated to restoring common sense to America. Philip writes periodically for The Wall Street Journal, the Washington Post, and The New York Times, and has appeared on The Daily Show with Jon Stewart, PBS NewsHour, Today, Good Morning America, Charlie Rose, and numerous other programs.The son of a minister, Philip got his start working summers at the Oak Ridge National Laboratory for Nobel laureate Eugene Wigner and has been active in public affairs his entire adult life. He is a prominent civic leader in New York City and has advised national political leaders on legal and regulatory reform for fifteen years, including Vice President Al Gore and numerous governors. He is a Partner at the law firm Covington & Burling, LLP. He is a graduate of Yale College and the University of Virginia Law School, and lives in Manhattan with his wife Alexandra. They have four children."
400,Stephen,Kotkin,"Stephen Mark Kotkin is an American historian, academic, and author. He is the Kleinheinz Senior Fellow at the Hoover Institution and a senior fellow at the Freeman Spogli Institute for International Studies at Stanford University. For 33 years, Kotkin taught at Princeton University, where he attained the title of John P. Birkelund '52 Professor in History and International Affairs, and he took emeritus status from Princeton University in 2022. He was the director of the Princeton Institute for International and Regional Studies and the co-director of the certificate program in History and the Practice of Diplomacy. He has won a number of awards and fellowships, including the Guggenheim Fellowship, the American Council of Learned Societies and the National Endowment for the Humanities Fellowship. He is the husband of curator and art historian  Soyoung Lee.Kotkin's most prominent book project is his three-volume biography of  Joseph Stalin, of which the first two volumes have been published as Stalin: Paradoxes of Power, 1878–1928 (2014) and Stalin: Waiting for Hitler, 1929–1941 (2017), while the third volume remains to be published."
401,Gloria,Bird,
402,Joy,Harjo,"Bio Joy HarjoJoy Harjo was born in Tulsa, Oklahoma and is a member of the Mvskoke Nation. She has released four award-winning CD's of original music and won a Native American Music Award (NAMMY) for Best Female Artist of the Year. She performs nationally and internationally solo and with her band, The Arrow Dynamics. She has appeared on HBO's Def Poetry Jam, in venues in every major U.S. city and internationally. Most recently she performed We Were There When Jazz Was Invented at the Chan Centre at UBC in Vancouver, BC, and appeared at the San Miguel Writer’s Conference in San Miguel de Allende, Mexico. Her one-woman show, Wings of Night Sky, Wings of Morning Light, which features guitarist Larry Mitchell premiered in Los Angeles in 2009, with recent performances at Joe’s Pub in New York City, LaJolla Playhouse as part of the Native Voices at the Autry, and the University of British Columbia. Her seven books of poetry include such well-known titles as How We Became Human- New and Selected Poems and She Had Some Horses. Her awards include the New Mexico Governor’s Award for Excellence in the Arts, the Lifetime Achievement Award from the Native Writers Circle of the Americas, and the William Carlos Williams Award from the Poetry Society of America. She was recently awarded 2011 Artist of the Year from the Mvskoke Women’s Leadership Initiative, and a Rasmuson US Artists Fellowship. She is a founding board member and treasurer of the Native Arts and Cultures Foundation. Harjo writes a column Comings and Goings for her tribal newspaper, the Muscogee Nation News. Soul Talk, Song Language, Conversations with Joy Harjo was recently released from Wesleyan University Press. Crazy Brave, a memoir is her newest publication from W.W. Norton, and a new album of music is being produced by the drummer/producer Barrett Martin. She is at work on a new shows: We Were There When Jazz Was Invented, a musical story that proves southeastern indigenous tribes were part of the origins of American music. She lives in the Mvskoke Nation of Oklahoma."
403,Marianne,Mithun,
404,Elizabeth,Seay,"Elizabeth Seay is a features editor in the Journal Reports department of The Wall Street Journal, assigning articles for reports including C-Suite Strategies, Health, Travel, Technology, Workplace Tech, Cybersecurity and Artificial Intelligence.She formerly worked in the Personal Journal department handling columns on work/family, life and style. She is the author of ""Searching for Lost City: On the Trail of America's Native Languages."""
405,William,Tomkins,
406,Francis,Chichester,
407,John,Nicol,
408,Tim,Flannery,"Tim Flannery is one of Australia's leading thinkers and writers.An internationally acclaimed scientist, explorer and conservationist, he has published more than 130 peer-reviewed scientific papers and many books. His books include the landmark works The Future Eaters and The Weather Makers, which has been translated into more than 20 languages and in 2006 won the NSW Premiers Literary Prizes for Best Critical Writing and Book of the Year.He received a Centenary of Federation Medal for his services to Australian science and in 2002 delivered the Australia Day address. In 2005 he was named Australian Humanist of the Year, and in 2007 honoured as Australian of the Year.He spent a year teaching at Harvard, and is a founding member of the Wentworth Group of Concerned Scientists, a director of the Australian Wildlife Conservancy, and the National Geographic Society's representative in Australasia. He serves on the board of WWF International (London and Gland) and on the sustainability advisory councils of Siemens (Munich) and Tata Power (Mumbai).In 2007 he co-founded and was appointed Chair of the Copenhagen Climate Council, a coalition of community, business, and political leaders who came together to confront climate change.Tim Flannery is currently Professor of Science at Maquarie University, Sydney."
409,Nikola,Tesla,"Nikola Tesla was a Serbian-American inventor, electrical engineer, mechanical engineer, and futurist. He is best known for his contributions to the design of the modern alternating current (AC) electricity supply system.Born and raised in the Austrian Empire, Tesla first studied engineering and physics in the 1870s without receiving a degree. He then gained practical experience in the early 1880s working in telephony and at Continental Edison in the new electric power industry. In 1884 he emigrated to the United States, where he became a naturalized citizen. He worked for a short time at the Edison Machine Works in New York City before he struck out on his own. With the help of partners to finance and market his ideas, Tesla set up laboratories and companies in New York to develop a range of electrical and mechanical devices. His AC induction motor and related polyphase AC patents, licensed by Westinghouse Electric in 1888, earned him a considerable amount of money and became the cornerstone of the polyphase system which that company eventually marketed.Attempting to develop inventions he could patent and market, Tesla conducted a range of experiments with mechanical oscillators/generators, electrical discharge tubes, and early X-ray imaging. He also built a wirelessly controlled boat, one of the first ever exhibited. Tesla became well known as an inventor and demonstrated his achievements to celebrities and wealthy patrons at his lab, and was noted for his showmanship at public lectures. Throughout the 1890s, Tesla pursued his ideas for wireless lighting and worldwide wireless electric power distribution in his high-voltage, high-frequency power experiments in New York and Colorado Springs. In 1893, he made pronouncements on the possibility of wireless communication with his devices. Tesla tried to put these ideas to practical use in his unfinished Wardenclyffe Tower project, an intercontinental wireless communication and power transmitter, but ran out of funding before he could complete it.After Wardenclyffe, Tesla experimented with a series of inventions in the 1910s and 1920s with varying degrees of success. Having spent most of his money, Tesla lived in a series of New York hotels, leaving behind unpaid bills. He died in New York City in January 1943. Tesla's work fell into relative obscurity following his death, until 1960, when the General Conference on Weights and Measures named the International System of Units (SI) measurement of magnetic flux density the tesla in his honor. There has been a resurgence in popular interest in Tesla since the 1990s."
410,David,Hatcher Childress,"David Hatcher Childress (born 1957) is an American author and publisher of books on topics in alternative history and historical revisionism. His works often cover such subjects as pre-Columbian trans-oceanic contact, the Knights Templar, lost cities and vimana aircraft. Despite his public involvement in the general field of study, Childress claims to have no academic credentials as a professional archaeologist.Born in France, and raised in Colorado, Childress began his world travels at age nineteen in pursuit of his archaeological interests. In 1983 Childress relocated to Stelle, Illinois, a community founded by New Age writer Richard Kieninger, after Childress was given a book authored by Kieninger while touring Africa. Childress chronicled his explorations in his Lost Cities and Ancient Mysteries series of books, whose core concepts were influenced by the ideas of Kieninger.While residing in Stelle, Childress began self publishing his own works and later other authors, which focus on presenting fringe scientific theories regarding ancient civilizations and little-known technologies, as well as establishing a travel business in partnership with Kieninger. In 1991, in the nearby town of Kempton, Illinois, Childress, along with historian and linguist Carl W. Hart, founded the World Explorers Club, a group that often travels to the places he writes about, and an affiliated magazine, World Explorer.David Hatcher Childress has appeared on several television programs on NBC (""The Mysterious Origins of Man""), Fox Network (Sightings and Encounters), Discovery Channel, A&E, The History Channel, as a commentator on subjects such as the Bermuda Triangle, Atlantis, and UFOs.Childress has been involved in two lawsuits regarding his publishing activities, one of which failed due to the expiry of a statute of limitations and the other, involving his company's publication of a master's thesis without permission, which was settled out of court. from http://en.wikipedia.org/wiki/David_Ha..."
411,Marc,J. Seifer,
412,William,H. Terbo,
413,Tim,R. Swartz,
414,Carol,Dommermuth-Costa,
415,U.S.,Government,
416,Thomas,Commerford Martin,"Thomas Commerford Martin was an American electrical engineer and editor.Martin was born in Limehouse, England. His father worked with Lord Kelvin and other pioneers of submarine telegraph cables, and Martin worked on the cable-laying ship SS Great Eastern.Educated as a theological student, Martin travelled to the United States in 1877. He was associated with  Thomas A. Edison in his work in 1877–1879 and thereafter engaged in editorial work. From 1883 to 1909 he served as editor of the Electrical World, after 1909 was executive secretary of the National Electric Light Association, and in 1900–1911 was a special agent of the United States Census Office.Martin lectured at the Royal Institution of Engineers, London, the Paris Société Internationale des Electriciens, the University of Nebraska, and Columbia University. He was a founding member of the American Institute of Electrical Engineers, and served as president in 1887–1888."
417,Michael,Webb,
418,John,H. Lienhard,
419,Michael,Eliot Howard,"Sir Michael Eliot Howard was an English military historian, formerly Chichele Professor of the History of War, Honorary Fellow of All Souls College, Regius Professor of Modern History at the University of Oxford, Robert A. Lovett Professor of Military and Naval History at Yale University, and founder of the Department of War Studies, King's College London.In 1958, he co-founded the International Institute for Strategic Studies.In 2013, Howard was described in the Financial Times as ""Britain's greatest living historian"". The Guardian described him as ""Britain's foremost expert on conflict""."
420,Eric,J. Hobsbawm,"Eric John Ernest Hobsbawm was a British historian of the rise of industrial capitalism, socialism and nationalism. His best-known works include his tetralogy about what he called the ""long 19th century"" (The Age of Revolution: Europe 1789–1848, The Age of Capital: 1848–1875 and The Age of Empire: 1875–1914) and the ""short 20th century"" (The Age of Extremes), and an edited volume that introduced the influential idea of ""invented traditions"". A life-long Marxist, his socio-political convictions influenced the character of his work.Hobsbawm was born in Alexandria, Egypt, and spent his childhood mainly in Vienna and Berlin. Following the death of his parents and the rise to power of  Adolf Hitler, Hobsbawm moved to London with his adoptive family. After serving in the Second World War, he obtained his PhD in history at the University of Cambridge. In 1998, he was appointed to the Order of the Companions of Honour. He was president of Birkbeck, University of London, from 2002 until his death. In 2003, he received the Balzan Prize for European History since 1900, ""for his brilliant analysis of the troubled history of 20th century Europe and for his ability to combine in-depth historical research with great literary talent."""
421,Terence,Ranger,
422,Hugh,Trevor-Roper,"Hugh Redwald Trevor-Roper, Baron Dacre of Glanton, was an English historian. He was Regius Professor of Modern History at the University of Oxford.Trevor-Roper was a polemicist and essayist on a range of historical topics, but particularly England in the 16th and 17th centuries and Nazi Germany. In the view of  John Philipps Kenyon, ""some of [Trevor-Roper's] short essays have affected the way we think about the past more than other men's books"". This is echoed by  Richard Davenport-Hines and  Adam Sisman in the introduction to One Hundred Letters from Hugh Trevor-Roper (2014): ""The bulk of his publications is formidable ... Some of his essays are of Victorian length. All of them reduce large subjects to their essence. Many of them ... have lastingly transformed their fields."" On the other hand, his biographer Adam Sisman also writes that ""the mark of a great historian is that he writes great books, on the subject which he has made his own. By this exacting standard Hugh failed.""Trevor-Roper's most commercially successful book was titled The Last Days of Hitler (1947). It emerged from his assignment as a British intelligence officer in 1945 to discover what happened in the last days of  Hitler's bunker. From interviews with a range of witnesses and study of surviving documents, he demonstrated that Hitler was dead and had not escaped from Berlin. He also showed that Hitler's dictatorship was not an efficient unified machine but a hodge-podge of overlapping rivalries.Trevor-Roper's reputation was ""severely damaged"" in 1983 when he authenticated the Hitler Diaries shortly before they were shown to be forgeries."
423,Prys,Morgan,
424,David,Cannadine,
425,Bernard,S. Cohn,
426,Frank,Puterbaugh Bachman,
427,Michael,J. McHugh,
428,Maxine,Anderson,
429,Richard,C. Levy,
430,Tom,Stoppard,"Sir Tom Stoppard is a Czech-born British playwright and screenwriter. He has written for film, radio, stage, and television, finding prominence with plays. His work covers the themes of human rights, censorship, and political freedom, often delving into the deeper philosophical thematics of society. Stoppard has been a playwright of the National Theatre and is one of the most internationally performed dramatists of his generation. He was knighted for his contribution to theatre by Queen  Elizabeth II in 1997.Born in Czechoslovakia, Stoppard left as a child refugee, fleeing imminent Nazi occupation. He settled with his family in Britain after the war, in 1946, having spent the previous three years (1943–1946) in a boarding school in Darjeeling in the Indian Himalayas. After being educated at schools in Nottingham and Yorkshire, Stoppard became a journalist, a drama critic and then, in 1960, a playwright.Stoppard's most prominent plays include Rosencrantz and Guildenstern Are Dead (1966), Jumpers (1972), Travesties (1974), Night and Day (1978), The Real Thing (1982), Arcadia (1993), The Invention of Love (1997), The Coast of Utopia (2002), Rock 'n' Roll (2006) and Leopoldstadt (2020). He wrote the screenplays for Brazil (1985), Empire of the Sun (1987), The Russia House (1990), Billy Bathgate (1991), Shakespeare in Love (1998), Enigma (2001), and Anna Karenina (2012), as well as the HBO limited series Parade's End (2013). He directed the film Rosencrantz and Guildenstern Are Dead (1990), an adaptation of his own 1966 play, with  Gary Oldman and Tim Roth as the leads.He has received numerous awards and honours including an Academy Award, a Laurence Olivier Award, and five Tony Awards. In 2008, The Daily Telegraph ranked him number 11 in their list of the ""100 most powerful people in British culture"". It was announced in June 2019 that Stoppard had written a new play, Leopoldstadt, set in the Jewish community of early 20th-century Vienna. The play premiered in January 2020 at Wyndham's Theatre. The play went on to win the Laurence Olivier Award for Best New Play and later the 2022 Tony Award for Best Play."
431,Dori,Hillestad Butler,"Dori Hillestad Butler is an American author of more than 40 children's books, as well as magazine stories, plays and educational materials. Her first book, The Great Tooth Fairy Rip-Off, was published in 1997. She is known particularly for The Truth about Truman School, a 2008 young adult title focusing on the subject of cyber bullying, and for My Mom's Having a Baby (illustrated by  Carol Thompson), which in 2011 appeared on the American Library Association's list of most commonly challenged books in the United States for its portrayal of conception and childbirth. Her 2010 mystery title, Buddy Files: Case of the Last Boy, won the 2011 Edgar Award for the best juvenile mystery published in 2010. Before becoming a children's author, Butler worked for three years as a page at a library."
432,Julie,Elizabeth Leto,See also  Julie Leto
433,Leslie,Kelly,"Librarian Note: There is more than one author in the GoodReads database with this name. See this thread for more information. New York Times Bestselling author, Leslie Kelly writes sexy romances and dark romantic thrillers. A four-time RWA RITA Award nominee, eleven-time Romantic Times Award nominee and 2006 RT Award winner, Leslie has become known for her delightful characters, sparkling dialogue, and outrageous humor in her romances, and for the dark grittiness of her thrillers. Since the publication of her first book in 1999, Leslie has gone on to pen more than forty sassy, sexy romances for Harlequin Temptation, Blaze, and HQN.In 2009, Leslie began tapping into her love for dark suspense by penning several books under the pseudonym Leslie Parrish. The Black CATs and Extrasensory Agents series quickly put Leslie on the must-read list of romantic-suspense fans. Tired of writing under various names, Leslie decided to go into her next genre--futuristic thrillers with a suspense element--under her real name. She released her dark, gritty Veronica Sloan books, and reissued the Black CATs series, as Leslie A. Kelly. Leslie lives in Denver with her husband Bruce--her real-life romance hero. Visit her online at lesliekelly.com (for her sexy romances) or at leslieAkelly.com (for her romantic suspense.)"
434,Kimberly,Raye,"I've always been an incurable romantic. While I enjoy reading all types of fiction, my favorites, the books that touch my soul, are romance novels. From sexy to thrilling, sweet to humorous, I like them all. But what I really love is writing romance--the hotter the better!I started my first novel back in high school and have been writing ever since. To date, I've published over thirty novels, one of them a prestigious RITA Award nominee, Romance Writers of America's highest award of excellence. I have also been nominated by Romantic Times magazine for several Reviewer's Choice awards, as well as a career achievement award.I've written for several different publishers, including Harlequin Books, Leisure Books, Berkley/Jove, St. Martin's Press and Warner Books. Born and bred in the Lone Start State, I still live deep in the heart with my real-life hero, Curt, and our young children. Like any over-worked, under-appreciated wife and mother, I have very little free time. But when I find a few precious moments, I LOVE to read. Some of my favorite authors include Janet Evanovich, Vicki Lewis Thompson, Charlaine Harris (see my Favorite Reads page for more) and the exceptionally talented Nina Bangs. Give me a bag of Sugar Babies, a Toby Keith or Kevin Fowler CD (I love Texas music), and a great book, and I'm in heaven!"
435,William,J. Ryczek,
436,Frank,Moher,"Frank Moher is a Canadian playwright, director, and journalist.He was born in Edmonton, Alberta and lived in New York City and Calgary, Alberta. His plays include Odd Jobs (1985) which has been produced internationally and was a finalist for the Governor General's Award, The Third Ascent which toured Canada and won the Edmonton Sterling Award for Outstanding New Play, Supreme Dream (with Rhonda Trodd, 1995) which also toured Canada, and Big Baby (2004). His plays are published by the Playwrights Guild of Canada, Playwrights Canada Press, and online by ProPlay.Moher has been the Artistic Producer of Western Edge Theatre in Nanaimo, British Columbia since 2002, and is editor and media critic for the online magazine backofthebook.ca."
437,Ray,Holan,
438,Chad,Fowler,"Chad Fowler has been a software developer and manager for some of the world's largest corporations. He recently lived and worked in India, setting up and leading an offshore software development center. He is co-founder of Ruby Central, Inc., a non-profit corporation responsible for the annual International Ruby Conference and The International Rails Conference, and is a leading contributor in the Ruby community."
439,Andy,  Hunt,"see also  Andrew HuntAndy Hunt is a programmer turned consultant, author and publisher.He co-authored the best-selling book ""The Pragmatic Programmer"",was one of the 17 founders of the Agile Alliance, and co-foundedthe Pragmatic Bookshelf, publishing award-winning and criticallyacclaimed books for software developers.Andy started writing software professionally in early 80's acrossdiverse industries such as telecommunications, banking, financialservices, utilities, medical imaging, graphic arts, and of course,the now-ubiquitous web.Source: Amazon.com"
440,Andrew,Hunt,"Librarian's note: There is more than one author in the Goodreads database with this name.Andrew Hunt graduated from Cambridge with a Law degree in 2003. He worked in TV production before moving to Edinburgh in 2006 to join Baillie Gifford, where he works as an Investment Manager.All views expressed in his book, Better Value Investing, are Andrew's own and not those of Baillie Gifford."
441,James,Edward Gray II,
442,Bruce,A. Tate,
443,Chris, Pine,
444,Neal,Ford,"Neal Ford is Software Architect and Meme Wrangler at ThoughtWorks, a global IT consultancy with an exclusive focus on end-to-end software development and delivery. He is also the designer and developer of applications, instructional materials, magazine articles, courseware, video/DVD presentations, and author and/or editor of 5 books spanning a variety of technologies. He focuses on designing and building of large-scale enterprise applications. He is also an internationally acclaimed speaker, speaking at over 100 developer conferences worldwide, delivering more than 600 talks. Check out his web site at http://www.nealford.com. He welcomes feedback and can be reached at nford@thoughtworks.com."
445,Frances,Froman,
446,Lottie,Keye,
447,Alfred,J. Keye,
448,Maureen,Kelly,
449,William,Golding,"Sir William Gerald Golding was a British novelist, playwright, and poet. Best known for his debut novel Lord of the Flies (1954), he published another twelve volumes of fiction in his lifetime. In 1980, he was awarded the Booker Prize for Rites of Passage, the first novel in what became his sea trilogy, To the Ends of the Earth. He was awarded the 1983 Nobel Prize in Literature.As a result of his contributions to literature, Golding was knighted in 1988. He was a fellow of the Royal Society of Literature. In 2008, The Times ranked Golding third on its list of ""The 50 greatest British writers since 1945"". "
450,Ben,Gibson,
451,Edmund,L. Epstein,
452,James,Robert Baker,
453,Arthur,P. Ziegler,
454,James,Lamar Roberts,See James L. Roberts.
455,Denis,M. Calandra,
456,SparkNotes,,"Many of the editions by this group of authors are actually guides to books rather than the works.If the author of the SparkNotes is known, they should be the first author. Please leave these SparkNotes Editors as the second author and the author of the original work as the last author. Do not combine with the original work. Do not put the author of the ORIGINAL work first.Link to discussion."
457,Tim,Pigott-Smith,
458,Victor,Davis Hanson,
459,Geoffrey,Perrett,"Geoffrey Perrett is an author who writes about American history. His work focuses primarily upon the political dynamics that influence strategic and tactical military decisions, as well as broader political themes. He has published over thirteen books dealing with a variety of topics, among them the U.S. Presidency - including several biographies of iconic Presidents such as John F. Kennedy and Ulysses S. Grant - leading American military commanders such as Douglas MacArthur, and pivotal American military engagements. Perrett was born in the UK and went on to serve in the U.S. Army for 3 years. Later he studied at Long Beach City College and then obtained his undergraduate degree summa cum laude from the University of Southern California in 1967. He was also elected to Phi Beta Kappa. He obtained his postgraduate degree from Harvard University in 1969 and then studied law at the University of California at Berkeley. "
460,Robert,Mercer-Nairne,
461,Ephraim,Sevela,"also: Эфраим Севела, Efraim SevelaEphraim Sevela (Yefim Drabkin) was a Russian writer, screenwriter, director, producer, who after his emigration from the Soviet Union lived in Israel, USA and Russia. Ephraim Sevela was born to Jewish parents. His father was an officer. He was evacuated from the frontline in 1941. After the school Sevela was admitted into the Belarusian State University and became a screenwriter for many Soviet patriotic films. At the end of the 60s, Sevela joined the Jewish Soviet dissidents and took part in the capture of the main office of the head of the Soviet government in 1971. Sevela was expatriated to Israel. Aссording his words 45 years old Sevella participated in the Yom Kippur War where he was wounded. In 1977 he left Israel for the USA. Ephraim Sevela worked and lived in many cities such as London, Paris, and West Berlin. In 1990 Ephraim Sevela came back to the USSR and started filming very successful movies based on his works.See also https://en.wikipedia.org/wiki/Efraim_..."
462,Antonina,W. Bouis,
463,Richard,E. Crouch,
464,Alice,Sebold,
465,Sharyn,McCrumb,"​     Sharyn McCrumb, an award-winning Southern writer, is best known for her Appalachian “Ballad” novels, including the New York Times best sellers The Ballad of Tom Dooley, The Ballad of Frankie Silver, and The Songcatcher. Ghost Riders, which won the Wilma Dykeman Award for Literature from the East Tennessee Historical Society and the national Audie Award for Best Recorded Books. The Unquiet Grave, a well-researched novel about West Virginia's Greenbrier Ghost, will be published in September by Atria, a division of Simon &Schuster.               Sharyn McCrumb, named a Virginia Woman of History by the Library of Virginia and a Woman of the Arts by the national Daughters of the American Revolution,  was awarded the Mary Hobson Prize for Arts & Letters in 2014. Her books have been named New York Times and Los Angeles Times Notable Books. In addition to presenting programs at universities, libraries, and other organizations throughout the US, Sharyn McCrumb has taught a writers workshop in Paris, and served as writer-in-residence at King University in Tennessee, and at the Chautauqua Institute in western New York."
466,Scott, Duffy,
467,R.K.,Kliebenstein,
468,Jan,Axelson,
469,Christopher,Poelker,
470,Alex,Nikitin,
471,Huseyin,Simitci,
472,Barbara,Braasch,
473,Lisa,Stockwell Kessler,
474,Joanne,Kellar Bouknight,
475,Stephanie,Ramp,
476,Christine,Erikson,
477,Richard,   Barker,
478,Paul,Massiglia,
479,Elizabeth,Hilliard,
480,Ray,Main,
481,Laura,Hodgson,
482,Paige,Gilchrist,
483,Kate,Haxell,
484,Philip,Haxell,
485,Jennifer,Lisle,
486,James,Wojcik,
487,Phineas,Mollod,
488,Jason,Tesauro,
